24-09-11 00:14:20.986 [main] INFO  c.e.j.r.UserRepositoryImplTests - Starting UserRepositoryImplTests using Java 21.0.3 with PID 22560 (started by KAUSHIK in E:\DOWNLOADS\journalApp_CALL_API_POST\journalApp) 
24-09-11 00:14:20.990 [main] INFO  c.e.j.r.UserRepositoryImplTests - The following 1 profile is active: "prod" 
24-09-11 00:14:22.483 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
24-09-11 00:14:22.589 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 98 ms. Found 3 MongoDB repository interfaces. 
24-09-11 00:14:23.751 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.11.2"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Amazon.com Inc./21.0.3+9-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='kaushikjain06082002', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@24c685e7, com.mongodb.Jep395RecordCodecProvider@7da635c0, com.mongodb.KotlinCodecProvider@2ed9f6f8]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.nnmasmt.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-1jd1b5-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null} 
24-09-11 00:14:23.803 [cluster-ClusterId{value='66e0938756c98e6d9b10324b', description='Cluster0'}-srv-cluster0.nnmasmt.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-w0heccj-shard-00-00.nnmasmt.mongodb.net:27017 to client view of cluster 
24-09-11 00:14:23.856 [cluster-ClusterId{value='66e0938756c98e6d9b10324b', description='Cluster0'}-srv-cluster0.nnmasmt.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-w0heccj-shard-00-02.nnmasmt.mongodb.net:27017 to client view of cluster 
24-09-11 00:14:23.860 [cluster-ClusterId{value='66e0938756c98e6d9b10324b', description='Cluster0'}-srv-cluster0.nnmasmt.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-w0heccj-shard-00-01.nnmasmt.mongodb.net:27017 to client view of cluster 
24-09-11 00:14:24.864 [main] INFO  org.mongodb.driver.cluster - No server chosen by WritableServerSelector from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-w0heccj-shard-00-02.nnmasmt.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-w0heccj-shard-00-00.nnmasmt.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-w0heccj-shard-00-01.nnmasmt.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
24-09-11 00:14:25.548 [cluster-ClusterId{value='66e0938756c98e6d9b10324b', description='Cluster0'}-ac-w0heccj-shard-00-02.nnmasmt.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-w0heccj-shard-00-02.nnmasmt.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=570099400, setName='atlas-1jd1b5-shard-0', canonicalAddress=ac-w0heccj-shard-00-02.nnmasmt.mongodb.net:27017, hosts=[ac-w0heccj-shard-00-00.nnmasmt.mongodb.net:27017, ac-w0heccj-shard-00-01.nnmasmt.mongodb.net:27017, ac-w0heccj-shard-00-02.nnmasmt.mongodb.net:27017], passives=[], arbiters=[], primary='ac-w0heccj-shard-00-01.nnmasmt.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=89, topologyVersion=TopologyVersion{processId=66ce979ac42c0c1ebcf44e76, counter=5}, lastWriteDate=Wed Sep 11 00:14:25 IST 2024, lastUpdateTimeNanos=1166285472172600} 
24-09-11 00:14:25.548 [cluster-ClusterId{value='66e0938756c98e6d9b10324b', description='Cluster0'}-ac-w0heccj-shard-00-00.nnmasmt.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-w0heccj-shard-00-00.nnmasmt.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=571037900, setName='atlas-1jd1b5-shard-0', canonicalAddress=ac-w0heccj-shard-00-00.nnmasmt.mongodb.net:27017, hosts=[ac-w0heccj-shard-00-00.nnmasmt.mongodb.net:27017, ac-w0heccj-shard-00-01.nnmasmt.mongodb.net:27017, ac-w0heccj-shard-00-02.nnmasmt.mongodb.net:27017], passives=[], arbiters=[], primary='ac-w0heccj-shard-00-01.nnmasmt.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=89, topologyVersion=TopologyVersion{processId=66ce9649666e6170cf21b8dd, counter=5}, lastWriteDate=Wed Sep 11 00:14:25 IST 2024, lastUpdateTimeNanos=1166285472341000} 
